city_cn,city,city_id,distance,local_flow,pagerank
北京市,Beijing,110000,1050.6401582394733,184.35350115,0.015574170878657957
天津市,Tianjin,120000,978.8401708584275,30.484535003999998,0.005574312236027474
石家庄市,Shijiazhuang,130100,826.6276638502219,30.892180464000006,0.005190617244568135
唐山市,Tangshan,130200,1062.8056889577238,9.256907772,0.0026922257420433377
秦皇岛市,Qinhuangdao,130300,1142.576314249283,4.230622872,0.001596581671043957
邯郸市,Handan,130400,669.4843728588997,25.975888218,0.00395265668912362
邢台市,Xingtai,130500,718.8010669997194,19.854137286,0.0033579477638448303
保定市,Baoding,130600,924.8167664502727,18.839091618000005,0.004363172629039083
张家口市,Zhangjiakou,130700,1130.1490624546625,5.34061836,0.0020176739758956995
承德市,Chengde,130800,1195.7432743563918,3.316916304,0.001609946050003804
沧州市,Cangzhou,130900,886.4838121522133,14.286959820000005,0.0031921597210629654
廊坊市,Langfang,131000,1015.6986550912036,9.744764616,0.003933272286020077
衡水市,Hengshui,131100,802.6375253750682,8.875198187999999,0.0024398439313073348
太原市,Taiyuan,140100,823.3680124991832,20.87587566,0.005731612390727153
大同市,Datong,140200,1056.1654550607268,7.816500648,0.002094349251985913
阳泉市,Yangquan,140300,808.5101199422473,3.2633915040000008,0.0009426022329814762
长治市,Changzhi,140400,631.1677638490337,8.560882224,0.0017951122641858103
晋城市,Jincheng,140500,559.8696383799108,8.694614196000003,0.0012873100406574117
朔州市,Shuozhou,140600,984.3612907708756,4.555246896,0.0015312498120692534
晋中市,Jinzhong,140700,799.8191909550258,10.942388172000001,0.002852469983340046
运城市,Yuncheng,140800,580.6159432558151,13.336311744000001,0.002588720677185743
忻州市,Xinzhou,140900,879.787115527704,4.937845860000001,0.001984309783826706
临汾市,Linfen,141000,662.2766057433607,8.780232816000003,0.002403909850836805
吕梁市,Lvliang,141100,821.668978766304,5.312464703999999,0.002257406585893013
呼和浩特市,Hohhot,150100,1160.3997410442767,7.665527015999997,0.003048452457265808
包头市,Baotou,150200,1187.2085069028794,4.1277710160000005,0.001975335895502442
乌海市,Wuhai,150300,1215.3722610724851,0.6754881600000001,0.0012014084984694599
赤峰市,Chifeng,150400,1357.3724011568293,5.572464336,0.002254116056352324
通辽市,Tongliao,150500,1610.0204126796314,3.116138364,0.0019121300273876026
鄂尔多斯市,Ordos,150600,1081.5534122104054,2.365680816,0.002548265639966284
呼伦贝尔市,Hulunbuir,150700,2118.106977317681,2.204723772,0.00138185308675758
巴彦淖尔市,Bayannur,150800,1287.5947161356478,1.284067404,0.0013583159576280588
乌兰察布市,Ulanqab,150900,1159.0168044653435,2.03937426,0.0019522898291633181
兴安盟,Xinganmeng,152200,1845.3220853167825,1.20927492,0.00131486833709115
锡林郭勒盟,Xilinguole,152500,1488.581231754465,0.7528360319999998,0.0010911862161310155
阿拉善盟,Alashanmeng,152900,1205.6640206651746,0.6590824200000002,0.0011323362033277282
沈阳市,Shenyang,210100,1478.723198020831,16.981583580000006,0.007575075902085136
大连市,Dalian,210200,1139.2192269865234,15.065924994000001,0.0025614089512790293
鞍山市,Anshan,210300,1404.5907211678625,3.1223572200000005,0.00230388897202945
抚顺市,Fushun,210400,1521.3882245324594,1.711276632,0.0013962887633868178
本溪市,Benxi,210500,1473.0159157029516,1.4547904559999998,0.001111008823048555
丹东市,Dandong,210600,1385.4774212153504,1.7387398439999997,0.0011538369533281448
锦州市,Jinzhou,210700,1317.1026378288182,2.99999538,0.002270210299487519
营口市,Yingkou,210800,1327.3127016536898,1.8768241080000003,0.0016078442397986761
阜新市,Fuxin,210900,1428.9830355759373,1.3539985920000002,0.001249007311374042
辽阳市,Liaoyang,211000,1430.8967263158054,1.2353112360000005,0.0016891318951627278
盘锦市,Panjin,211100,1361.1062396716507,1.30712616,0.0014817947322638204
铁岭市,Tieling,211200,1540.406487366622,2.02489146,0.0019073261282839605
朝阳市,Chaoyang,211300,1337.386286403132,2.0357632800000003,0.0018704958583855812
葫芦岛市,Huludao,211400,1268.030635078531,3.389134608,0.0017752905845678073
长春市,Changchun,220100,1760.0509736617166,12.811512258000002,0.006318473581086939
吉林市,Jilin,220200,1823.6482233198547,4.381163316000001,0.002173815325310847
四平市,Siping,220300,1655.1330146393786,2.3624285040000004,0.0025906519784488426
辽源市,Liaoyuan,220400,1669.7826965672384,0.7546475159999999,0.0010688268680004213
通化市,Tonghua,220500,1616.2657675958142,2.104304184,0.001491397697186299
白山市,Baishan,220600,1660.6363968374203,0.879142572,0.0009417582656358704
松原市,Songyuan,220700,1857.569843117093,1.996648704,0.001993212096075239
白城市,Baicheng,220800,1825.5926522059965,1.139680044,0.0014931597960990734
延边朝鲜族自治州,Yanbian,222400,1918.2032712990133,1.7614736279999998,0.0011626514860995907
哈尔滨市,Harbin,230100,1994.2635400030858,26.694616770000003,0.007917073725057025
