city_cn,city,city_id,province_cn,province,tier,lat,lng,population,GDP,GDP_growth_2019,GDP_2020Q1,GDP_pc,GDP_growth_rate
延安市,Yanan,610600,陕西省,Shaanxi,Tier 4,36.59111103521779,109.49658191612689,225.57,1663.89,6.7,348.63,7.376379837744381,0.8381082884084885
汉中市,Hanzhong,610700,陕西省,Shaanxi,Tier 5,33.073799907833795,107.02943020926465,343.7,1547.59,6.1,312.3,4.502734943264475,0.8071905349608101
榆林市,Yulin,610800,陕西省,Shaanxi,Tier 4,38.290883835484046,109.74161603381395,342.42,4136.28,7.1,865.57,12.079551428070788,0.8370516502751265
安康市,Ankang,610900,陕西省,Shaanxi,Tier 5,32.69051277057377,109.03560108265744,267.49,1182.06,7.9,224.49,4.419081087143444,0.7596568702096341
商洛市,Shangluo,611000,陕西省,Shaanxi,Tier 5,33.87863385220776,109.92441788136406,237.91,837.21,5.3,154.24,3.5190197974023794,0.7369238303412525
兰州市,Lanzhou,620100,甘肃省,Gansu,Tier 2,36.06723469354557,103.84052119633628,379.09,2837.36,6.0,642.37,7.484660634677782,0.9055882933431076
嘉峪关市,Jiayuguan,620200,甘肃省,Gansu,Tier 5,39.777960147390594,98.29620384300112,25.31,283.4,6.5,63.4,11.197155274595021,0.89484827099506
金昌市,Jinchang,620300,甘肃省,Gansu,Tier 5,38.52582009209263,102.19460568669837,45.82,340.31,9.7,79.71,7.427106067219555,0.9369104639887161
白银市,Baiyin,620400,甘肃省,Gansu,Tier 5,36.55082533041454,104.14445082834352,174.08,486.33,6.2,111.44,2.793715533088235,0.916579277445356
天水市,Tianshui,620500,甘肃省,Gansu,Tier 5,34.58741188165064,105.73141674566955,336.89,632.67,6.7,132.19,1.877972038350797,0.8357595586956865
武威市,Wuwei,620600,甘肃省,Gansu,Tier 5,37.93437780815811,102.64455434036918,182.5,488.46,4.0,109.01,2.6764931506849314,0.8926831265610287
张掖市,Zhangye,620700,甘肃省,Gansu,Tier 5,38.93206600700493,100.45641147405634,123.76,448.73,6.5,91.75,3.625808015513898,0.8178637488021749
平凉市,Pingliang,620800,甘肃省,Gansu,Tier 5,35.54923205046352,106.67144234827795,212.53,456.58,6.4,89.27,2.1483084740977745,0.7820754303736476
酒泉市,Jiuquan,620900,甘肃省,Gansu,Tier 5,39.73846908071564,98.50068521606796,113.22,618.2,7.7,128.8,5.460166048401343,0.833387253316079
庆阳市,Qingyang,621000,甘肃省,Gansu,Tier 5,35.715215983562004,107.64938569595421,227.88,742.94,5.3,159.87,3.2602246796559595,0.8607424556491775
定西市,Dingxi,621100,甘肃省,Gansu,Tier 5,35.586832926561875,104.632420083063,282.58,416.38,6.2,87.71,1.4734942317219903,0.8425957058456217
陇南市,Longnan,621200,甘肃省,Gansu,Tier 5,33.406620229951265,104.92857497071192,264.31,445.09,7.4,99.03,1.6839695811736217,0.8899773079601879
临夏回族自治州,Linxia,622900,甘肃省,Gansu,Tier 5,35.607562183503106,103.21639056529743,207.14,303.5,6.0,68.3,1.465192623346529,0.900164744645799
甘南藏族自治州,Gannan,623000,甘肃省,Gansu,Tier 5,34.98913990996821,102.91758468825803,72.32,218.33,3.5,47.13,3.0189435840707968,0.8634635643292264
西宁市,Xining,630100,青海省,Qinghai,Tier 4,36.62338469651661,101.78445017050856,238.71,1338.8,7.5,323.72,5.608478907460936,0.9671945025395878
