date2020,date2019,migration_index_2020,migration_index_2019
20200101,20190112,266.8720608,353.7092772
20200102,20190113,251.20432799999998,312.97959360000004
20200103,20190114,397.885122,333.7403148
20200104,20190115,448.87993560000007,304.6864896
20200105,20190116,420.7530096,311.8322448
20200106,20190117,398.7199404,323.6503716
20200107,20190118,401.682078,338.8797
20200108,20190119,447.02740080000007,372.6619488
20200109,20190120,497.460042,345.076848
20200110,20190121,438.973668,366.9401088
20200111,20190122,481.00200839999997,367.8382044
20200112,20190123,446.3765172,389.247606
20200113,20190124,436.1630004,405.4737204
20200114,20190125,412.61364360000005,436.0823892
20200115,20190126,431.4138732,502.63934400000005
20200116,20190127,450.4974408,495.849114
20200117,20190128,479.94567120000005,513.5867532
20200118,20190129,529.5260304,490.72158719999993
20200119,20190130,525.4227648,490.6611612
20200120,20190131,542.3144724,493.986762
20200121,20190201,621.2109996,530.0219448
20200122,20190202,580.6973267999999,527.0810292
20200123,20190203,551.6447327999999,488.5993548
20200124,20190204,448.30989000000005,414.3138012
20200125,20190205,261.5466672,342.61166160000005
20200126,20190206,287.4244176,545.0786136
20200127,20190207,264.73541040000003,591.068988
20200128,20190208,225.89176319999999,606.2593068
20200129,20190209,192.60170280000003,637.1947296
20200130,20190210,183.77484119999997,726.2124984000001
20200131,20190211,153.6096312,687.9075336
20200201,20190212,130.64392800000002,597.5534592
20200202,20190213,142.4592036,563.8972788
20200203,20190214,117.190152,505.580616
20200204,20190215,85.9585284,469.952766
20200205,20190216,81.3802464,487.86206039999996
20200206,20190217,81.188244,445.0947084
20200207,20190218,85.79811600000001,415.8890568
20200208,20190219,94.75000920000001,345.338802
20200209,20190220,111.1956336,395.8886016
20200210,20190221,100.9839312,431.404866
20200211,20190222,74.7511092,412.1937396
20200212,20190223,71.3811852,463.749948
20200213,20190224,73.1563812,478.0189404
20200214,20190225,73.4141556,368.93585160000003
20200215,20190226,70.6802436,327.3258924
20200216,20190227,73.51909920000001,364.208724
20200217,20190228,92.2017168,417.34423799999996
20200218,20190301,96.6906396,355.91367599999995
20200219,20190302,105.1612632,394.2562572
20200220,20190303,114.50717279999999,353.24595719999996
20200221,20190304,125.70853319999999,362.2391928
20200222,20190305,144.25853759999998,315.18318239999996
20200223,20190306,153.7678404,299.6386668
20200224,20190307,174.826512,300.77509680000003
20200225,20190308,176.0520096,338.55336719999997
20200226,20190309,176.78612880000003,376.58565360000006
20200227,20190310,173.1089232,344.07610919999996
20200228,20190311,178.415298,360.2344104
20200229,20190312,196.3850832,313.1585712
20200301,20190313,194.57774640000002,304.9043148
20200302,20190314,215.4749688,302.74099920000003
20200303,20190315,188.65321200000002,339.61449960000004
20200304,20190316,181.7768628,401.6486088
20200305,20190317,186.91641,355.030938
20200306,20190318,196.33508999999998,365.5770408
20200307,20190319,208.12344119999997,314.9859312
20200308,20190320,195.536916,308.0801952
20200309,20190321,220.6412784,304.97540039999996
20200310,20190322,203.6717136,335.935674
20200311,20190323,201.51011519999997,394.0014636
20200312,20190324,205.70607719999998,343.9401588
20200313,20190325,209.902752,360.226278
20200314,20190326,233.16847919999998,313.6663764
20200315,20190327,224.4780864,305.3561328
