date,average_degree,average_path_length
20200101,274.09289617486337,0.9407184172751413
20200102,280.37704918032784,0.807962927661037
20200103,281.6502732240437,0.5876730127920164
20200104,284.0218579234973,0.5220306828180474
20200105,283.8087431693989,0.5340804028406603
20200106,285.4918032786885,0.5243894107235574
20200107,286.94535519125685,0.5230032736638924
20200108,287.7049180327869,0.4673763389747757
20200109,289.8251366120219,0.4627752033434799
20200110,284.1639344262295,0.5082001004348585
20200111,282.14207650273227,0.48541833436253723
20200112,283.24043715846994,0.5479842193863323
20200113,285.27322404371586,0.5249332143222446
20200114,284.72131147540983,0.5854055699512928
20200115,284.91256830601094,0.5502943946300183
20200116,284.55737704918033,0.5638197887957168
20200117,284.26229508196724,0.5731771554223071
20200118,283.46994535519127,0.5673030023831892
20200119,283.89617486338796,0.5627223080772502
20200120,283.62295081967216,0.5836824827754744
20200121,283.2896174863388,0.5057388602628053
20200122,281.04918032786884,0.5527562143232788
20200123,278.9016393442623,0.5875997326643086
20200124,276.79234972677597,0.7838766590800659
20200125,270.62841530054646,1.1134624765662076
20200126,262.5464480874317,1.265851014354175
20200127,265.1912568306011,1.2247162598123784
20200128,265.2568306010929,1.6127055279703721
20200129,262.57923497267757,1.9059855626417812
20200130,259.08196721311475,1.9893118836836143
20200131,256.8524590163934,2.2885604377909026
20200201,251.85792349726776,2.6393681932813036
20200202,253.68852459016392,2.418722525322407
20200203,250.36065573770492,2.818003197634973
20200204,240.92349726775956,3.543481410555535
20200205,235.88524590163934,3.9873174083705623
20200206,235.81420765027323,4.278836294289383
20200207,233.49726775956285,4.212847894760637
20200208,233.81967213114754,4.370582465873267
20200209,231.86885245901638,4.256221883823517
20200210,235.38251366120218,4.20604391370558
20200211,230.60655737704917,4.736260632788883
20200212,227.43169398907105,5.0264831143277195
20200213,229.37158469945356,4.6961472736899035
20200214,229.5792349726776,4.8166812623660675
20200215,227.96174863387978,5.222543518578275
20200216,229.53005464480876,5.002240610880462
20200217,232.13661202185793,4.55489187199282
20200218,234.5792349726776,4.806100417492749
20200219,238.19672131147541,4.761222645235104
20200220,242.8306010928962,4.444732869777127
20200221,243.80327868852459,4.322391354788008
20200222,246.98907103825135,4.008207709115337
20200223,249.59562841530055,3.9541619171621853
20200224,250.53005464480876,3.6696461804470655
20200225,251.8087431693989,3.4334052204332397
20200226,253.38251366120218,3.2453199725567674
20200227,254.10382513661202,3.2525030610516
20200228,254.0655737704918,3.230485217476869
20200229,255.72677595628414,2.9596752727196547
20200301,256.7103825136612,2.987176021739789
20200302,260.43169398907105,2.8404717112411233
20200303,258.91256830601094,2.926554985733756
20200304,259.11475409836066,2.856770762998198
20200305,257.73224043715845,2.795329453450929
20200306,257.9398907103825,2.786569349652725
20200307,258.69945355191254,2.52610143367736
20200308,258.30601092896177,2.62137207825849
20200309,258.1256830601093,2.2718454896557825
20200310,257.89617486338796,2.075557469904092
20200311,258.8087431693989,2.1704602505195076
20200312,260.04371584699453,2.0538202475966347
20200313,261.1311475409836,1.9675453780631402
20200314,261.1475409836066,1.9758854600831603
20200315,262.08196721311475,1.892754780175904
