city_cn,mean_intensity,intensity_2019,intensity_2020,intensity_reduction
北京市,5.677559090909091,331.92119999999994,241.54289999999997,90.37829999999997
天津市,5.610922727272728,356.668,258.5126,98.15539999999999
石家庄市,5.479822727272727,346.9245,260.6993,86.22520000000003
唐山市,5.583631818181818,355.8822,288.3937000000001,67.48849999999993
秦皇岛市,5.384295454545454,333.1633,280.1461,53.0172
邯郸市,5.281931818181818,354.6886999999999,277.33200000000005,77.35669999999988
邢台市,5.152227272727273,345.72240000000005,254.00049999999996,91.72190000000009
保定市,4.987400000000001,319.8782,223.4632,96.41499999999999
张家口市,5.01784090909091,342.84950000000003,267.8235000000001,75.02599999999995
承德市,4.999840909090908,324.4351,270.3395,54.09559999999999
沧州市,5.578322727272727,363.9415,264.227,99.71450000000004
廊坊市,4.6875363636363625,300.5759,208.87239999999997,91.70350000000002
衡水市,5.326136363636364,354.2232,286.27520000000004,67.94799999999998
太原市,5.223436363636363,320.2067,229.11799999999997,91.08870000000005
大同市,5.094581818181819,339.045,289.54389999999995,49.501100000000065
阳泉市,5.073031818181817,352.40739999999994,281.95899999999995,70.44839999999999
长治市,4.950113636363636,349.6082,272.47800000000007,77.13019999999995
晋城市,5.4899000000000004,363.16999999999996,263.04029999999995,100.12970000000001
朔州市,5.138281818181818,347.5866,292.948,54.6386
晋中市,4.667559090909091,335.8215,245.0448,90.7767
运城市,5.199527272727274,358.4304000000001,275.9006,82.52980000000008
忻州市,4.61475909090909,326.14129999999994,261.0607,65.08059999999995
临汾市,5.241531818181819,364.31600000000003,292.552,71.76400000000001
吕梁市,4.952559090909091,351.5351999999999,277.23459999999994,74.30059999999997
呼和浩特市,5.93025,375.2334,278.4158999999999,96.81750000000011
包头市,6.090327272727274,396.6778,324.6173,72.06049999999999
乌海市,5.879477272727272,378.25350000000003,323.76290000000006,54.49059999999997
赤峰市,5.675436363636364,367.9099,297.752,70.15789999999998
通辽市,5.575559090909089,365.95820000000003,304.0013,61.95690000000002
鄂尔多斯市,6.090222727272728,399.2432,331.1748,68.0684
呼伦贝尔市,5.259586363636363,333.1041,280.14349999999996,52.960600000000056
巴彦淖尔市,6.178881818181816,427.6391,326.2197,101.4194
乌兰察布市,5.708877272727273,405.29069999999996,335.88059999999996,69.4101
兴安盟,5.691095454545455,375.81679999999994,318.13550000000004,57.68129999999991
锡林郭勒盟,5.460731818181819,377.7890999999999,277.1809,100.6081999999999
阿拉善盟,5.199295454545455,338.9552,298.43690000000004,40.518299999999954
沈阳市,5.775472727272727,355.6451,291.46490000000006,64.18019999999996
大连市,5.784359090909091,353.2237999999999,299.92069999999995,53.30309999999997
鞍山市,5.773936363636364,358.14079999999996,319.8458,38.29499999999996
抚顺市,5.208568181818181,329.59209999999996,302.52909999999997,27.062999999999988
本溪市,5.470536363636363,349.4628,304.2084,45.25440000000003
丹东市,5.638409090909091,343.6853,310.814,32.87129999999996
锦州市,5.331868181818183,347.27170000000007,306.72580000000005,40.54590000000002
营口市,6.041895454545455,370.5048,348.9567,21.548099999999977
阜新市,5.388363636363636,346.41940000000005,305.1171,41.30230000000006
辽阳市,5.588727272727272,351.6003,324.95550000000003,26.644799999999975
盘锦市,6.149822727272729,362.1096,330.30460000000005,31.80499999999995
铁岭市,5.214531818181817,335.4112,308.23949999999996,27.171700000000044
朝阳市,5.6665,361.17400000000004,345.42620000000005,15.747799999999984
葫芦岛市,5.561422727272727,355.20489999999995,312.7142,42.49069999999995
长春市,5.705718181818184,355.4206,294.39450000000005,61.02609999999993
吉林市,5.369518181818183,339.13899999999995,301.96019999999993,37.178800000000024
四平市,4.946963636363636,333.54609999999997,273.1972,60.34889999999996
辽源市,5.36565,348.5856,299.6674,48.91820000000001
通化市,5.0596000000000005,319.97909999999996,266.474,53.50509999999997
白山市,5.014504545454546,319.3471,276.8505,42.4966
松原市,5.489604545454546,355.35949999999997,327.25960000000003,28.099899999999934
白城市,5.134795454545454,347.924,295.42019999999997,52.50380000000001
延边朝鲜族自治州,5.270918181818182,335.525,277.0928,58.432199999999966
哈尔滨市,5.367327272727273,336.7274,220.5903,116.13709999999998
齐齐哈尔市,5.149527272727273,344.40990000000005,241.73239999999998,102.67750000000007
鸡西市,4.900259090909091,328.7444,215.8563,112.88809999999998
鹤岗市,5.2437227272727265,342.4282,263.615,78.8132
双鸭山市,5.047086363636364,332.383,227.8917,104.4913
大庆市,5.773245454545455,360.2599,263.8012,96.45870000000002
伊春市,4.383622727272726,289.6944,215.6688,74.02559999999997
佳木斯市,5.229972727272727,337.74250000000006,238.92759999999996,98.81490000000011
七台河市,5.814513636363636,368.49,252.8216,115.66840000000002
牡丹江市,4.985936363636363,327.3152,237.0704,90.2448
黑河市,4.522172727272727,294.56019999999995,201.0595,93.50069999999994
绥化市,4.997077272727274,319.8764,236.18540000000002,83.69099999999997
大兴安岭地区,4.45064090909091,538.6424000000001,208.45520000000002,330.1872000000001
上海市,5.879227272727272,353.4625999999999,278.3512,75.11139999999989
南京市,5.754154545454546,342.395,271.174,71.221
无锡市,5.9063954545454544,367.0509,302.1129,64.93799999999999
徐州市,5.704677272727273,376.26189999999997,299.1668,77.09509999999995
常州市,5.92185,366.3788,293.05209999999994,73.32670000000007
苏州市,5.911422727272728,371.76349999999996,290.40160000000003,81.36189999999993
南通市,5.7945863636363635,372.4833999999999,322.2914999999999,50.191899999999976
连云港市,5.4835590909090905,357.6189,278.266,79.35289999999998
淮安市,5.793136363636365,388.7336,311.23529999999994,77.49830000000009
盐城市,5.4311727272727275,369.3737,338.6578,30.715899999999976
扬州市,5.860895454545456,375.3447,315.2495,60.09519999999998
镇江市,5.586577272727273,356.1679,301.6888,54.47909999999996
泰州市,5.914359090909091,375.2358999999999,325.76709999999997,49.46879999999993
宿迁市,5.7495590909090915,386.6977,330.7087000000001,55.98899999999992
杭州市,5.629718181818183,346.784,263.1168,83.66719999999998
宁波市,5.58885909090909,356.073,280.9337,75.13929999999999
温州市,4.525549999999999,291.7735,206.87640000000002,84.8971
嘉兴市,5.185913636363636,343.2731,267.3447,75.92840000000001
湖州市,5.170236363636363,342.51640000000003,281.91189999999995,60.60450000000009
绍兴市,5.283709090909091,349.6338,282.66659999999996,66.96720000000005
金华市,4.727627272727273,211.24169999999998,235.96450000000002,-24.722800000000035
衢州市,5.945227272727275,307.52609999999993,335.74499999999995,-28.21890000000002
舟山市,5.417272727272728,350.85929999999996,301.96020000000004,48.89909999999992
台州市,5.254122727272726,321.6392,262.0898,59.54939999999999
丽水市,4.899159090909091,317.3405,259.01159999999993,58.32890000000009
合肥市,5.575963636363635,340.8988,255.871,85.02779999999998
芜湖市,5.624677272727272,360.0659000000001,303.40240000000006,56.663500000000056
蚌埠市,5.6757409090909094,385.6782,291.606,94.07220000000001
淮南市,5.299327272727274,362.4471,300.2801,62.16699999999997
马鞍山市,5.527336363636363,355.53090000000003,310.44849999999997,45.082400000000064
